Symbols,Mean,Median,Variance,Standard Deviation,Standard Error of the Mean
Bitcoin High,7444.047733823198,7427.3857421875,5139877.659261039,2267.129828497045,82.1833920772679
Ethereum High,220.90771526482038,195.14793395996094,10424.53737752223,102.10062378615632,3.701144720729983
Dogecoin High,0.0028516202334390463,0.002583000110462308,8.920379751680922e-07,0.0009444776202579351,3.423728698648014e-05
Cardano High,0.06895134160136034,0.05592799931764603,0.001412334135364026,0.03758103425085619,0.00136231142728815
