Date,Close
2018-05-31,7541.45
2018-06-01,7643.45
2018-06-02,7720.25
2018-06-03,7514.47
2018-06-04,7633.76
2018-06-05,7653.98
2018-06-06,7678.24
2018-06-07,7624.92
2018-06-08,7531.98
2018-06-09,6786.02
2018-06-10,6906.92
2018-06-11,6582.36
2018-06-12,6349.9
2018-06-13,6675.35
2018-06-14,6456.58
2018-06-15,6550.16
2018-06-16,6499.27
2018-06-17,6734.82
2018-06-18,6769.94
2018-06-19,6776.55
2018-06-20,6729.74
2018-06-21,6083.69
2018-06-22,6162.48
2018-06-23,6173.23
2018-06-24,6249.18
2018-06-25,6093.67
2018-06-26,6157.13
2018-06-27,5903.44
2018-06-28,6218.3
2018-06-29,6404.0
2018-06-30,6385.82
2018-07-01,6614.18
2018-07-02,6529.59
2018-07-03,6597.55
2018-07-04,6639.14
2018-07-05,6673.5
2018-07-06,6856.93
2018-07-07,6773.88
2018-07-08,6741.75
2018-07-09,6329.95
2018-07-10,6394.71
2018-07-11,6228.81
2018-07-12,6238.05
2018-07-13,6276.12
2018-07-14,6359.64
2018-07-15,6741.75
2018-07-16,7321.04
2018-07-17,7370.78
2018-07-18,7466.86
2018-07-19,7354.13
2018-07-20,7419.29
2018-07-21,7418.49
2018-07-22,7711.11
2018-07-23,8424.27
2018-07-24,8181.39
2018-07-25,7951.58
2018-07-26,8165.01
2018-07-27,8192.15
2018-07-28,8218.46
2018-07-29,8180.48
2018-07-30,7780.44
2018-07-31,7624.91
2018-08-01,7567.15
2018-08-02,7434.39
2018-08-03,7032.85
2018-08-04,7068.48
2018-08-05,6951.8
2018-08-06,6753.12
2018-08-07,6305.8
2018-08-08,6568.23
2018-08-09,6184.71
2018-08-10,6295.73
2018-08-11,6322.69
2018-08-12,6297.57
2018-08-13,6199.71
2018-08-14,6308.52
2018-08-15,6334.73
2018-08-16,6580.63
2018-08-17,6423.76
2018-08-18,6506.07
2018-08-19,6308.53
2018-08-20,6488.76
2018-08-21,6376.71
2018-08-22,6534.88
2018-08-23,6719.96
2018-08-24,6763.19
2018-08-25,6707.26
2018-08-26,6884.64
2018-08-27,7096.28
2018-08-28,7047.16
2018-08-29,6978.23
2018-08-30,7037.58
2018-08-31,7193.25
2018-09-01,7272.72
2018-09-02,7260.06
2018-09-03,7361.66
2018-09-04,6792.83
2018-09-05,6529.17
2018-09-06,6467.07
2018-09-07,6225.98
2018-09-08,6300.86
2018-09-09,6329.7
2018-09-10,6321.2
2018-09-11,6351.8
2018-09-12,6517.31
2018-09-13,6512.71
2018-09-14,6543.2
2018-09-15,6517.18
2018-09-16,6281.2
2018-09-17,6371.3
2018-09-18,6398.54
2018-09-19,6519.67
2018-09-20,6734.95
2018-09-21,6721.98
2018-09-22,6710.63
2018-09-23,6595.41
2018-09-24,6446.47
2018-09-25,6495.0
2018-09-26,6676.75
2018-09-27,6644.13
2018-09-28,6601.96
2018-09-29,6625.56
2018-09-30,6589.62
2018-10-01,6556.1
2018-10-02,6502.59
2018-10-03,6576.69
2018-10-04,6622.48
2018-10-05,6588.31
2018-10-06,6602.95
2018-10-07,6652.23
2018-10-08,6642.64
2018-10-09,6585.53
2018-10-10,6256.24
2018-10-11,6274.58
2018-10-12,6285.99
2018-10-13,6290.93
2018-10-14,6596.54
2018-10-15,6596.11
2018-10-16,6544.43
2018-10-17,6476.71
2018-10-18,6465.41
2018-10-19,6489.19
2018-10-20,6482.35
2018-10-21,6487.16
2018-10-22,6475.74
2018-10-23,6495.84
2018-10-24,6476.29
2018-10-25,6474.75
2018-10-26,6480.38
2018-10-27,6486.39
2018-10-29,6332.63
2018-10-30,6334.27
2018-10-31,6317.61
2018-11-01,6377.78
2018-11-02,6388.44
2018-11-03,6361.26
2018-11-04,6376.13
2018-11-05,6419.66
2018-11-06,6461.01
2018-11-07,6530.14
2018-11-08,6453.72
2018-11-09,6385.62
2018-11-10,6409.22
2018-11-11,6411.27
2018-11-12,6371.27
2018-11-13,6359.49
2018-11-14,5738.35
2018-11-15,5648.03
2018-11-16,5575.55
2018-11-17,5554.33
2018-11-18,5623.54
2018-11-19,4871.49
2018-11-20,4451.87
