Symbols,Mean,Median,Variance,standard deviation,Standard Error of the Mean
Dow Jones Close Pice,25852.639885496184,25893.879999999997,2852230.8340833513,1688.85488840319,73.77796835548457
NASDAQ Close Price,8070.021583969472,7950.73,570826.6544102969,755.5307104349213,33.00551233194933
