Date,Dow Jones Volume,NASDAQ Volume
2019-03-18,303170000,2274490000
2019-03-19,342250000,2433160000
2019-03-20,321980000,2424400000
2019-03-21,335250000,2483580000
2019-03-22,386510000,2490730000
2019-03-25,303120000,2130230000
2019-03-26,305110000,2068900000
2019-03-27,270340000,2221650000
2019-03-28,237170000,1902060000
2019-03-29,300620000,2233470000
2019-04-01,295570000,2198050000
2019-04-02,250940000,2110100000
2019-04-03,271980000,2487210000
2019-04-04,233040000,2094200000
2019-04-05,229550000,2148730000
2019-04-08,229380000,2069190000
2019-04-09,244410000,2067570000
2019-04-10,203130000,1998280000
2019-04-11,211680000,1956840000
2019-04-12,369910000,1955290000
2019-04-15,250620000,1816920000
2019-04-16,302340000,2095330000
2019-04-17,367780000,2290690000
2019-04-18,332850000,2089360000
2019-04-22,232570000,1776060000
2019-04-23,311690000,2075070000
2019-04-24,283370000,2022490000
2019-04-25,296730000,2063270000
2019-04-26,317290000,1971270000
2019-04-29,279450000,1761110000
2019-04-30,340320000,2115770000
2019-05-01,303850000,2247420000
2019-05-02,287610000,2158600000
2019-05-03,248900000,2046040000
2019-05-06,283020000,1966120000
2019-05-07,334960000,2376660000
2019-05-08,276420000,2175100000
2019-05-09,334760000,2520770000
2019-05-10,294580000,2387720000
2019-05-13,361240000,2478860000
2019-05-14,291570000,2084850000
2019-05-15,270720000,2001530000
2019-05-16,320960000,2163120000
2019-05-17,283760000,2134120000
2019-05-20,279560000,2122410000
2019-05-21,260870000,1993210000
2019-05-22,241760000,1881830000
2019-05-23,316940000,2243420000
2019-05-24,201370000,1682920000
2019-05-28,358980000,2352670000
2019-05-29,298930000,2278790000
2019-05-30,215240000,1872000000
2019-05-31,292230000,2236940000
2019-06-03,328240000,2576920000
2019-06-04,281690000,2369150000
2019-06-05,262660000,2115570000
2019-06-06,248070000,2070940000
2019-06-07,263010000,2066020000
2019-06-10,249280000,2049370000
2019-06-11,253490000,2114680000
2019-06-12,223690000,1952790000
2019-06-13,213400000,1838930000
2019-06-14,208020000,1804340000
2019-06-17,199500000,1935290000
2019-06-18,273490000,2244920000
2019-06-19,240950000,2014080000
2019-06-20,278170000,2053530000
2019-06-21,485560000,2894340000
2019-06-24,232390000,2070370000
2019-06-25,282160000,2127310000
2019-06-26,274340000,2104750000
2019-06-27,246930000,2023120000
2019-06-28,499350000,4078990000
2019-07-01,267670000,2208900000
2019-07-02,219270000,1946320000
2019-07-03,149840000,1548190000
2019-07-05,192170000,149410000
2019-07-08,214290000,177320000
2019-07-09,218330000,1866770000
2019-07-10,207990000,2060510000
2019-07-11,252300000,1966970000
2019-07-12,248390000,1824870000
2019-07-15,199730000,1783980000
2019-07-16,226000000,1933960000
2019-07-17,193930000,1846960000
2019-07-18,216070000,2016310000
2019-07-19,287690000,1878730000
2019-07-22,216310000,1845770000
2019-07-23,248850000,1832220000
2019-07-24,244320000,1947550000
2019-07-25,241420000,2023130000
2019-07-26,233650000,1954350000
2019-07-29,250850000,1874780000
2019-07-30,293250000,1884300000
2019-07-31,385150000,2667060000
2019-08-01,386320000,2792650000
2019-08-02,327640000,2252550000
2019-08-05,422240000,2636740000
2019-08-06,318160000,2201610000
2019-08-07,344790000,2453230000
2019-08-08,282530000,2415670000
2019-08-09,240260000,2224330000
2019-08-12,199390000,2056360000
2019-08-13,308900000,2346980000
2019-08-14,352250000,2522870000
2019-08-15,332600000,2182590000
2019-08-16,276210000,1995130000
2019-08-19,252640000,1934980000
2019-08-20,238100000,1747580000
2019-08-21,208790000,1716370000
2019-08-22,222810000,1777630000
2019-08-23,364260000,2207070000
2019-08-26,222780000,1688860000
2019-08-27,263530000,1913760000
2019-08-28,207070000,1656930000
2019-08-29,208650000,1700840000
2019-08-30,216160000,1665840000
2019-09-03,223210000,1936210000
2019-09-04,202710000,1891300000
2019-09-05,256670000,2096300000
2019-09-06,209700000,1876380000
2019-09-09,273120000,2172240000
2019-09-10,322340000,2362860000
2019-09-11,272590000,2310440000
2019-09-12,250010000,2159260000
2019-09-13,255260000,1976770000
2019-09-16,220620000,1869220000
2019-09-17,223580000,1850340000
2019-09-18,212860000,2034880000
2019-09-19,212360000,1792700000
2019-09-20,497640000,3359380000
2019-09-23,204240000,1780160000
2019-09-24,301750000,2302600000
2019-09-25,237220000,2015270000
2019-09-26,229180000,1832800000
2019-09-27,217780000,2037720000
2019-09-30,222680000,1805820000
2019-10-01,260110000,2243650000
2019-10-02,309640000,2495160000
2019-10-03,241610000,2141490000
2019-10-04,221310000,1736890000
2019-10-07,195200000,1739450000
2019-10-08,244590000,1933580000
2019-10-09,190060000,1553900000
2019-10-10,217680000,1778740000
2019-10-11,282080000,2176080000
2019-10-14,178620000,1419730000
2019-10-15,245510000,1836650000
2019-10-16,214660000,1886720000
2019-10-17,222540000,1861570000
2019-10-18,288970000,2012930000
2019-10-21,241030000,1752860000
2019-10-22,265510000,1847200000
2019-10-23,247680000,1805030000
2019-10-24,253590000,1882490000
2019-10-25,274610000,1894740000
2019-10-28,290770000,1956280000
2019-10-29,269610000,1834530000
2019-10-30,231750000,1928420000
2019-10-31,273830000,2258270000
