Symbols,Mean,Median,Variance,Standard Deviation,Standard Error of the Mean
Dow Jones Low,25680.24740458016,25734.545,3122674.689120212,1767.109133336199,77.1965209179304
NASDAQ Low,8007.239007633591,7899.6,570879.5193607728,755.5656949337846,33.00704063687819
