Symbols,Mean,Median,Variance,Standard Deviation,Standard Error of the Mean
Dow Jones High,26007.73232824428,26029.02,2614744.5239199996,1617.017168715286,70.63972299985457
NASDAQ High,8123.767595419852,7992.8099999999995,564612.4628733654,751.4069888371849,32.825366717525185
