Date,Bitcoin High,Ethereum High,Dogecoin High,Cardano High
2018-05-31,7604.72998046875,589.093017578125,0.003469000104814768,0.22918400168418884
2018-06-01,7695.830078125,597.0770263671875,0.0035840000491589308,0.22953100502490997
2018-06-02,7754.89013671875,624.5130004882812,0.0037499999161809683,0.23676100373268127
2018-06-03,7753.81982421875,623.4290161132812,0.003759999992325902,0.23122799396514893
2018-06-04,7643.22998046875,611.3300170898438,0.0037219999358057976,0.22172799706459045
2018-06-05,7680.43017578125,611.6430053710938,0.003800000064074993,0.2208620011806488
2018-06-06,7741.27001953125,616.1439819335938,0.003836000105366111,0.21935099363327026
2018-06-07,7698.18994140625,608.8109741210938,0.003783999942243099,0.21084100008010864
2018-06-08,7683.580078125,608.5830078125,0.003711000084877014,0.20966799557209015
2018-06-09,7499.5498046875,594.344970703125,0.003594999900087714,0.2015170007944107
2018-06-10,6910.18017578125,536.8579711914062,0.0032470000442117453,0.18193699419498444
2018-06-11,6907.9599609375,538.9550170898438,0.0032730000093579292,0.182888001203537
2018-06-12,6631.66015625,501.9049987792969,0.003114999970421195,0.16681799292564392
2018-06-13,6707.14013671875,523.5449829101562,0.0030159999150782824,0.17652100324630737
2018-06-14,6681.080078125,521.3049926757812,0.0029819998890161514,0.17221799492835999
2018-06-15,6592.490234375,503.2229919433594,0.0029559999238699675,0.16462799906730652
2018-06-16,6589.10986328125,507.6409912109375,0.002945000072941184,0.16447700560092926
2018-06-17,6781.14013671875,521.7960205078125,0.0030799999367445707,0.1675110012292862
2018-06-18,6822.5,542.35302734375,0.0030739998910576105,0.1699029952287674
2018-06-19,6821.56005859375,541.0150146484375,0.003046999918296933,0.16733099520206451
2018-06-20,6810.93994140625,543.7169799804688,0.003031000029295683,0.16375699639320374
2018-06-21,6747.080078125,527.1939697265625,0.0030040000565350056,0.15901899337768555
2018-06-22,6224.81982421875,479.1289978027344,0.002713999943807721,0.14327900111675262
2018-06-23,6223.77978515625,475.3590087890625,0.002710999920964241,0.13859200477600098
2018-06-24,6327.3701171875,470.343994140625,0.0025760000571608543,0.13825400173664093
2018-06-25,6290.16015625,461.2130126953125,0.0025770000647753477,0.13605499267578125
2018-06-26,6180.0,444.2430114746094,0.0025080000050365925,0.12800000607967377
2018-06-27,6170.41015625,443.6180114746094,0.002503999974578619,0.1285029947757721
2018-06-28,6261.66015625,441.7929992675781,0.002492000116035342,0.12743599712848663
2018-06-29,6465.509765625,458.7969970703125,0.00254100002348423,0.138372004032135
2018-06-30,6432.85009765625,457.1390075683594,0.002553999889642,0.14573100209236145
2018-07-01,6683.85986328125,479.1300048828125,0.0027209999971091747,0.16193599998950958
2018-07-02,6671.3701171875,483.85400390625,0.002764000091701746,0.1666869968175888
2018-07-03,6771.919921875,481.4360046386719,0.002724000019952655,0.15990400314331055
2018-07-04,6749.5400390625,483.2250061035156,0.0026950000319629908,0.154571995139122
2018-07-05,6700.93994140625,479.6520080566406,0.002618999918922782,0.1487489938735962
2018-07-06,6863.990234375,491.6600036621094,0.0026459998916834593,0.15037299692630768
2018-07-07,6885.91015625,503.1990051269531,0.0026710000820457935,0.15138499438762665
2018-07-08,6838.68017578125,490.85198974609375,0.0026489999145269394,0.14611099660396576
2018-07-09,6767.740234375,478.3179931640625,0.0026229999493807554,0.14065399765968323
2018-07-10,6444.9599609375,447.3160095214844,0.002474999986588955,0.13392500579357147
2018-07-11,6397.10009765625,446.50201416015625,0.0024250000715255737,0.13155999779701233
2018-07-12,6310.5498046875,442.3630065917969,0.0023560000117868185,0.14172899723052979
2018-07-13,6298.18994140625,439.4339904785156,0.002383999992161989,0.13989099860191345
2018-07-14,6403.4599609375,454.0010070800781,0.00241499999538064,0.14551100134849548
2018-07-15,6741.75,480.6579895019531,0.0028689999599009752,0.1567550003528595
2018-07-16,7387.240234375,508.7799987792969,0.003260999917984009,0.17461900413036346
2018-07-17,7534.990234375,513.4329833984375,0.004313999786973,0.19292999804019928
2018-07-18,7494.4599609375,483.239990234375,0.003949999809265137,0.18949900567531586
2018-07-19,7594.669921875,469.3070068359375,0.003836000105366111,0.18264999985694885
2018-07-20,7437.64013671875,468.0830078125,0.0035310001112520695,0.16884100437164307
2018-07-21,7537.9501953125,470.89801025390625,0.003582000033929944,0.17781400680541992
2018-07-22,7771.5,469.7659912109375,0.0036379999946802855,0.1793929934501648
2018-07-23,8424.26953125,481.1419982910156,0.003667999990284443,0.17675699293613434
2018-07-24,8416.8701171875,482.8680114746094,0.003659999929368496,0.17530399560928345
2018-07-25,8290.330078125,483.6960144042969,0.003645000047981739,0.1747400015592575
2018-07-26,8262.66015625,473.22198486328125,0.003461000043898821,0.16870899498462677
2018-07-27,8222.849609375,471.593994140625,0.003470000112429261,0.16622799634933472
2018-07-28,8272.259765625,470.3559875488281,0.003476999932900071,0.16477200388908386
2018-07-29,8235.5,467.9519958496094,0.0033519999124109745,0.16323399543762207
2018-07-30,8181.52978515625,457.2449951171875,0.003324999939650297,0.15418699383735657
2018-07-31,7769.0400390625,435.4570007324219,0.003160000080242753,0.14503799378871918
2018-08-01,7712.77001953125,425.03399658203125,0.003163000103086233,0.1424809992313385
2018-08-02,7562.14013671875,420.54901123046875,0.0029690000228583813,0.13483500480651855
2018-08-03,7497.490234375,420.1860046386719,0.002964999992400408,0.1345909982919693
2018-08-04,7102.77001953125,413.71600341796875,0.0029150000773370266,0.13202999532222748
2018-08-05,7166.5498046875,414.5400085449219,0.0029090000316500664,0.13640399277210236
2018-08-06,7146.56005859375,411.4049987792969,0.002827000105753541,0.1331000030040741
