Date,Dow Jones Low,NASDAQ Low
2019-01-25,24676.75,7111.09
2019-01-28,24323.94,7034.25
2019-01-29,24504.04,7011.47
2019-01-30,24790.9,7065.57
2019-01-31,24842.09,7205.95
2019-02-01,24982.49,7243.41
2019-02-04,24977.67,7261.07
2019-02-05,25287.65,7355.36
2019-02-06,25312.06,7346.72
2019-02-07,25000.52,7235.05
2019-02-08,24883.04,7225.14
2019-02-11,25009.1,7290.03
2019-02-12,25152.03,7349.8
2019-02-13,25480.86,7413.84
2019-02-14,25308.09,7375.71
2019-02-15,25564.63,7440.26
2019-02-19,25820.01,7450.27
2019-02-20,25846.48,7455.25
2019-02-21,25762.21,7430.89
2019-02-22,25906.27,7479.01
2019-02-25,26080.66,7551.61
2019-02-26,25966.01,7524.31
2019-02-27,25877.24,7485.39
2019-02-28,25896.56,7516.48
2019-03-01,25914.37,7540.75
2019-03-04,25611.55,7501.56
2019-03-05,25725.63,7543.54
2019-03-06,25633.71,7499.87
2019-03-07,25352.55,7397.19
2019-03-08,25252.46,7332.92
2019-03-11,25208.0,7442.4
2019-03-12,25522.17,7560.46
2019-03-13,25571.31,7619.46
2019-03-14,25621.31,7627.02
2019-03-15,25649.7,7652.04
2019-03-18,25785.66,7677.74
2019-03-19,25814.92,7699.15
2019-03-20,25670.63,7674.04
2019-03-21,25657.78,7705.43
2019-03-22,25501.45,7642.57
2019-03-25,25372.26,7579.29
2019-03-26,25544.78,7649.21
2019-03-27,25425.27,7582.09
2019-03-28,25576.69,7619.82
2019-03-29,25771.67,7688.51
2019-04-01,26071.69,7777.09
2019-04-02,26122.31,7811.28
2019-04-03,26138.47,7870.9
2019-04-04,26212.78,7844.96
2019-04-05,26370.82,7909.14
2019-04-08,26246.03,7891.85
2019-04-09,26103.14,7897.61
2019-04-10,26101.24,7916.9
2019-04-11,26062.59,7933.41
2019-04-12,26309.72,7952.61
2019-04-15,26316.42,7933.57
2019-04-16,26397.19,7978.81
2019-04-17,26391.86,7973.38
2019-04-18,26444.53,7950.97
2019-04-22,26458.61,7965.9
2019-04-23,26503.56,8023.81
2019-04-24,26582.86,8101.7
2019-04-25,26310.28,8075.41
2019-04-26,26392.55,8060.89
2019-04-29,26520.75,8136.41
2019-04-30,26419.47,8050.55
2019-05-01,26426.38,8048.23
2019-05-02,26180.36,7976.77
2019-05-03,26370.09,8084.8
2019-05-06,26033.95,7981.85
2019-05-07,25789.71,7899.02
2019-05-08,25889.41,7923.35
2019-05-09,25517.39,7796.16
2019-05-10,25469.86,7759.34
2019-05-13,25222.51,7627.22
2019-05-14,25384.03,7665.3
2019-05-15,25341.94,7682.24
2019-05-16,25692.14,7826.67
2019-05-17,25657.78,7810.35
2019-05-20,25560.55,7678.35
2019-05-21,25779.61,7752.92
2019-05-22,25755.11,7738.35
2019-05-23,25328.09,7585.32
2019-05-24,25496.2,7631.25
2019-05-28,25342.28,7603.76
2019-05-29,24938.24,7503.94
2019-05-30,25066.75,7527.66
2019-05-31,24809.51,7448.23
2019-06-03,24680.57,7292.22
2019-06-04,24962.82,7385.02
2019-06-05,25373.58,7498.17
2019-06-06,25518.05,7546.22
2019-06-07,25768.72,7647.91
2019-06-10,26054.31,7795.76
2019-06-11,25998.87,7798.63
2019-06-12,25958.66,7773.97
2019-06-13,25995.71,7813.6
2019-06-14,25988.09,7778.12
2019-06-17,26049.8,7812.61
2019-06-18,26227.8,7911.67
2019-06-19,26415.05,7930.38
2019-06-20,26539.69,7996.87
2019-06-21,26705.87,8011.2
2019-06-24,26723.37,8004.63
2019-06-25,26527.66,7879.15
2019-06-26,26536.33,7903.07
2019-06-27,26465.32,7935.47
2019-06-28,26522.27,7961.46
2019-07-01,26616.21,8059.29
2019-07-02,26632.65,8063.11
2019-07-03,26831.44,8122.34
2019-07-05,26733.33,8093.66
2019-07-08,26744.87,8078.39
2019-07-09,26665.57,8061.32
2019-07-10,26813.11,8160.56
2019-07-11,26916.32,8171.63
2019-07-12,27135.45,8201.52
2019-07-15,27294.17,8236.27
2019-07-16,27290.24,8204.23
2019-07-17,27218.38,8184.66
2019-07-18,27068.79,8135.12
2019-07-19,27145.78,8144.63
2019-07-22,27088.9,8171.54
2019-07-23,27204.58,8193.89
2019-07-24,27191.12,8226.5
2019-07-25,27062.48,8233.4
2019-07-26,27123.25,8291.12
2019-07-29,27178.06,8247.37
2019-07-30,27069.86,8228.02
2019-07-31,26719.6,8110.02
2019-08-01,26548.71,8080.52
2019-08-02,26249.22,7953.67
2019-08-05,25523.38,7662.9
2019-08-06,25710.87,7739.57
2019-08-07,25440.39,7702.42
2019-08-08,26038.1,7896.15
2019-08-09,26097.64,7910.35
2019-08-12,25824.94,7833.79
2019-08-13,25833.25,7851.58
2019-08-14,25471.59,7762.87
2019-08-15,25339.6,7716.55
2019-08-16,25678.17,7828.35
2019-08-19,26020.06,7895.99
2019-08-20,25952.0,7948.09
2019-08-21,26141.77,7998.5
2019-08-22,26099.01,7937.12
2019-08-23,25507.18,7730.77
2019-08-26,25716.39,7789.05
2019-08-27,25721.85,7795.18
2019-08-28,25637.43,7766.67
2019-08-29,26185.71,7925.83
2019-08-30,26295.59,7914.74
2019-09-03,25978.22,7847.32
2019-09-04,26244.44,7928.94
2019-09-05,26603.15,8061.29
2019-09-06,26708.39,8098.52
2019-09-09,26762.18,8052.34
2019-09-10,26717.05,8001.68
2019-09-11,26885.48,8081.56
2019-09-12,27105.01,8176.73
2019-09-13,27193.95,8165.47
2019-09-16,27032.56,8121.25
2019-09-17,26984.14,8139.82
2019-09-18,26899.15,8086.22
2019-09-19,27064.21,8174.32
2019-09-20,26926.68,8086.16
2019-09-23,26831.34,8085.34
2019-09-24,26704.96,7969.65
2019-09-25,26755.86,7935.57
2019-09-26,26803.84,7991.02
2019-09-27,26715.82,7890.28
2019-09-30,26852.33,7949.63
2019-10-01,26562.22,7906.29
2019-10-02,25974.12,7744.96
2019-10-03,25743.46,7700.0
2019-10-04,26271.7,7899.39
2019-10-07,26424.54,7942.08
2019-10-08,26139.8,7823.73
2019-10-09,26249.75,7873.52
2019-10-10,26314.51,7899.81
2019-10-11,26694.2,8046.8
2019-10-14,26749.18,8036.41
2019-10-15,26811.2,8071.81
2019-10-16,26943.29,8103.38
2019-10-17,26970.29,8131.25
2019-10-18,26770.13,8045.37
2019-10-21,26747.62,8117.26
2019-10-22,26782.61,8101.98
2019-10-23,26745.0,8078.35
2019-10-24,26714.34,8137.66
2019-10-25,26765.68,8150.59
2019-10-28,27028.71,8285.27
2019-10-29,27039.76,8275.14
2019-10-30,26999.64,8241.7
2019-10-31,26918.29,8248.81
2019-11-01,27142.95,8326.56
2019-11-04,27402.06,8421.3
2019-11-05,27453.55,8421.05
2019-11-06,27407.81,8379.33
2019-11-07,27590.16,8415.87
2019-11-08,27578.97,8405.89
2019-11-11,27517.67,8425.48
2019-11-12,27635.32,8462.99
2019-11-13,27587.2,8451.34
2019-11-14,27676.97,8441.58
2019-11-15,27843.54,8506.8
2019-11-18,27969.24,8503.62
2019-11-19,27894.52,8536.73
2019-11-20,27675.28,8468.63
2019-11-21,27708.34,8487.29
2019-11-22,27773.98,8477.49
2019-11-25,27917.77,8559.65
2019-11-26,28042.21,8625.62
2019-11-27,28075.23,8662.58
2019-11-29,28042.53,8664.04
2019-12-02,27782.35,8540.16
2019-12-03,27325.13,8435.4
2019-12-04,27612.08,8552.38
2019-12-05,27562.8,8541.92
2019-12-06,27839.68,8630.58
2019-12-09,27906.14,8619.77
2019-12-10,27804.0,8600.82
2019-12-11,27801.8,8622.36
2019-12-12,27859.87,8633.6
2019-12-13,28028.32,8697.58
2019-12-16,28191.67,8789.77
2019-12-17,28220.56,8804.6
2019-12-18,28239.28,8820.42
2019-12-19,28278.24,8838.97
2019-12-20,28445.6,8901.87
2019-12-23,28491.78,8934.55
2019-12-24,28503.21,8934.36
2019-12-26,28535.15,8968.46
2019-12-27,28608.98,8987.32
2019-12-30,28428.98,8909.19
2019-12-31,28376.49,8912.77
2020-01-02,28627.77,9010.89
2020-01-03,28500.36,8976.43
2020-01-06,28418.63,8943.5
2020-01-07,28565.28,9042.55
2020-01-08,28522.51,9059.38
2020-01-09,28844.31,9158.5
2020-01-10,28789.1,9164.66
2020-01-13,28819.43,9193.06
2020-01-14,28872.27,9226.49
2020-01-15,28897.35,9231.14
2020-01-16,29131.95,9301.32
2020-01-17,29289.91,9346.81
2020-01-21,29146.47,9350.2
2020-01-22,29172.26,9375.13
2020-01-23,28966.98,9334.13
2020-01-24,28843.31,9273.23
2020-01-27,28440.47,9088.04
2020-01-28,28575.75,9182.33
2020-01-29,28728.19,9249.04
2020-01-30,28489.76,9185.18
2020-01-31,28169.53,9123.22
2020-02-03,28319.65,9188.55
2020-02-04,28696.74,9374.05
2020-02-05,29000.85,9454.93
2020-02-06,29246.93,9505.68
2020-02-07,29056.98,9496.53
2020-02-10,28995.66,9493.63
2020-02-11,29210.47,9617.21
2020-02-12,29406.75,9666.69
2020-02-13,29345.93,9650.02
2020-02-14,29283.18,9693.05
2020-02-18,29116.81,9675.8
2020-02-19,29274.38,9777.1
2020-02-20,28959.65,9636.94
2020-02-21,28892.7,9542.33
2020-02-24,27912.44,9166.01
2020-02-25,26997.62,8940.49
2020-02-26,26890.97,8927.8
2020-02-27,25752.82,8562.05
2020-02-28,24681.01,8264.16
2020-03-02,25391.96,8543.35
2020-03-03,25706.28,8602.89
2020-03-04,26286.31,8757.66
2020-03-05,25943.33,8677.39
2020-03-06,25226.62,8375.13
2020-03-09,23706.07,7943.16
2020-03-10,23690.34,7930.43
2020-03-11,23328.32,7850.95
2020-03-12,21154.46,7194.67
2020-03-13,21285.37,7219.09
2020-03-16,20116.46,6882.86
