Symbols,Mean,Median,Variance,Standard Deviation,Standard Error of the Mean
Dow Jones Volume,329580667.9389313,291570000.0,1.6616040617717438e+16,128903221.90588348,5631163.394792418
NASDAQ Volume,2564819370.2290077,2256890000.0,8.682351458483598e+17,931791363.9052252,40705494.73028583
